Titre,Entreprise,Ville,Contrat,Date,Ville_propre,Departement,Contrat_propre,texte_complet,cluster_metier,high_demand,pred_high_demand
Chef de Projet Amélioration Continue H/F Groupe ONET,Groupe ONET,Madrid - Espagne,CDI,il y a 20 heures,,,CDI,Chef de Projet Amélioration Continue H/F Groupe ONET Groupe ONET  CDI,3,1,1
Analyste Programmeur COBOL - Nantes H/F Mosica,Mosica,Nantes - 44,CDI,il y a 20 heures,Nantes,44.0,CDI,Analyste Programmeur COBOL - Nantes H/F Mosica Mosica Nantes CDI,3,1,1
Chef de Département Dérivés Chlorés et Coproduits H/F Kem One,Kem One,Rhône - 69,CDI,il y a 20 heures,Rhône,69.0,CDI,Chef de Département Dérivés Chlorés et Coproduits H/F Kem One Kem One Rhône CDI,3,1,1
Manager Equipe Commerciale H/F Maison Thiriet,Maison Thiriet,Appoigny - 89,CDI,il y a 20 heures,Appoigny,89.0,CDI,Manager Equipe Commerciale H/F Maison Thiriet Maison Thiriet Appoigny CDI,3,1,1
Animateur QHSE H/F Terrena,Terrena,Noyant-Villages - 49,CDI,il y a 20 heures,Noyant-Villages,49.0,CDI,Animateur QHSE H/F Terrena Terrena Noyant-Villages CDI,3,1,1
Directeur de Magasin Super Idf H/F Auchan Retail France,Auchan Retail France,Sartrouville - 78,CDI,il y a 20 heures,Sartrouville,78.0,CDI,Directeur de Magasin Super Idf H/F Auchan Retail France Auchan Retail France Sartrouville CDI,0,0,0
Analyste Fonctionnel Si Comptable H/F Cogep,Cogep,Bourges - 18,CDI,il y a 20 heures,Bourges,18.0,CDI,Analyste Fonctionnel Si Comptable H/F Cogep Cogep Bourges CDI,3,1,1
Conseiller de Vente Alimentaire Stand Charcuterie - Fromage H/F Auchan Retail France,Auchan Retail France,Avignon - 84,CDI,il y a 20 heures,Avignon,84.0,CDI,Conseiller de Vente Alimentaire Stand Charcuterie - Fromage H/F Auchan Retail France Auchan Retail France Avignon CDI,0,0,0
Responsable des Projets de Transformation One Safran Apqp & Aero Excellence H/F Safran,Safran,Malakoff - 92,CDI,il y a 20 heures,Malakoff,92.0,CDI,Responsable des Projets de Transformation One Safran Apqp & Aero Excellence H/F Safran Safran Malakoff CDI,3,1,1
Actuaire Risques H/F Thélem assurances,Thélem assurances,Chécy - 45,CDI,il y a 20 heures,Chécy,45.0,CDI,Actuaire Risques H/F Thélem assurances Thélem assurances Chécy CDI,3,1,1
